PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
11,MVA90,2017,X,35,50,0.8,1.444,0.967956,0.00783499
11,MVA90,2017,X,35,50,1.444,1.566,1,1
11,MVA90,2017,X,35,50,1.566,2,0.959574,0.00693532
11,MVA90,2017,X,35,50,2,2.5,0.934283,0.0109726
11,MVA90,2017,X,50,100,-2.5,-2,0.943784,0.0145087
11,MVA90,2017,X,50,100,-2,-1.566,0.965553,0.0053735
11,MVA90,2017,X,50,100,-1.566,-1.444,1,1
11,MVA90,2017,X,50,100,-1.444,-0.8,0.967672,0.00269833
11,MVA90,2017,X,50,100,-0.8,0,0.976165,0.00788041
11,MVA90,2017,X,50,100,0,0.8,0.975242,0.00788041
11,MVA90,2017,X,50,100,0.8,1.444,0.970811,0.00269833
11,MVA90,2017,X,50,100,1.444,1.566,1,1
11,MVA90,2017,X,50,100,1.566,2,0.97286,0.0053735
11,MVA90,2017,X,50,100,2,2.5,0.933118,0.0145087
11,MVA90,2017,X,100,200,-2.5,-2,0.973655,0.0159402
11,MVA90,2017,X,100,200,-2,-1.566,0.97286,0.06004
11,MVA90,2017,X,100,200,-1.566,-1.444,1,1
11,MVA90,2017,X,100,200,-1.444,-0.8,0.969925,0.0351614
11,MVA90,2017,X,100,200,-0.8,0,0.982684,0.0222433
11,MVA90,2017,X,100,200,0,0.8,0.988147,0.0222433
11,MVA90,2017,X,100,200,0.8,1.444,0.977346,0.0351614
11,MVA90,2017,X,100,200,1.444,1.566,1,1
11,MVA90,2017,X,100,200,1.566,2,0.995807,0.0600691
11,MVA90,2017,X,100,200,2,2.5,0.952637,0.0160763
11,MVA90,2017,X,200,500,-2.5,-2,0.867357,0.0595752
11,MVA90,2017,X,200,500,-2,-1.566,0.994512,0.0637457
11,MVA90,2017,X,200,500,-1.566,-1.444,1,1
11,MVA90,2017,X,200,500,-1.444,-0.8,0.978284,0.0593773
11,MVA90,2017,X,200,500,-0.8,0,0.989189,0.0433251
11,MVA90,2017,X,200,500,0,0.8,0.953878,0.042983
11,MVA90,2017,X,200,500,0.8,1.444,0.960428,0.0593773
11,MVA90,2017,X,200,500,1.444,1.566,1,1
11,MVA90,2017,X,200,500,1.566,2,0.961257,0.0633254
11,MVA90,2017,X,200,500,2,2.5,1.06021,0.0695693
PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
11,MVA90,2018,X,10,20,-2.5,-2,0.993655,0.0178372
11,MVA90,2018,X,10,20,-2,-1.566,0.976048,0.022876
11,MVA90,2018,X,10,20,-1.566,-1.444,1,1
11,MVA90,2018,X,10,20,-1.444,-0.8,1.0025,0.0150739
11,MVA90,2018,X,10,20,-0.8,0,0.957801,0.0194967
11,MVA90,2018,X,10,20,0,0.8,0.98973,0.0195466
11,MVA90,2018,X,10,20,0.8,1.444,1.01521,0.0150739
11,MVA90,2018,X,10,20,1.444,1.566,1,1
11,MVA90,2018,X,10,20,1.566,2,0.99035,0.022876
11,MVA90,2018,X,10,20,2,2.5,0.994878,0.0178344
11,MVA90,2018,X,20,35,-2.5,-2,0.978799,0.0186996
11,MVA90,2018,X,20,35,-2,-1.566,0.958998,0.0201777
11,MVA90,2018,X,20,35,-1.566,-1.444,1,1
11,MVA90,2018,X,20,35,-1.444,-0.8,0.96702,0.0271481
11,MVA90,2018,X,20,35,-0.8,0,0.968123,0.0179238
11,MVA90,2018,X,20,35,0,0.8,0.974057,0.0179238
11,MVA90,2018,X,20,35,0.8,1.444,0.965517,0.0271481
11,MVA90,2018,X,20,35,1.444,1.566,1,1
11,MVA90,2018,X,20,35,1.566,2,0.95439,0.0201777
11,MVA90,2018,X,20,35,2,2.5,0.96816,0.0186996
11,MVA90,2018,X,35,50,-2.5,-2,0.978912,0.0057735
11,MVA90,2018,X,35,50,-2,-1.566,0.970968,0.00368188
11,MVA90,2018,X,35,50,-1.566,-1.444,1,1
11,MVA90,2018,X,35,50,-1.444,-0.8,0.972467,0.00353568
11,MVA90,2018,X,35,50,-0.8,0,0.975798,0.00296214
11,MVA90,2018,X,35,50,0,0.8,0.976898,0.00296214
11,MVA90,2018,X,35,50,0.8,1.444,0.972315,0.00353568
11,MVA90,2018,X,35,50,1.444,1.566,1,1
11,MVA90,2018,X,35,50,1.566,2,0.968884,0.00368188
11,MVA90,2018,X,35,50,2,2.5,0.972191,0.0057735
11,MVA90,2018,X,50,100,-2.5,-2,0.978094,0.00603242
11,MVA90,2018,X,50,100,-2,-1.566,0.979894,0.00289647
11,MVA90,2018,X,50,100,-1.566,-1.444,1,1
11,MVA90,2018,X,50,100,-1.444,-0.8,0.972885,0.00568335
11,MVA90,2018,X,50,100,-0.8,0,0.975135,0.00429273
11,MVA90,2018,X,50,100,0,0.8,0.978355,0.00429273
11,MVA90,2018,X,50,100,0.8,1.444,0.974863,0.00568335
11,MVA90,2018,X,50,100,1.444,1.566,1,1
11,MVA90,2018,X,50,100,1.566,2,0.980973,0.00289647
11,MVA90,2018,X,50,100,2,2.5,0.955338,0.00603242
11,MVA90,2018,X,100,200,-2.5,-2,0.987778,0.0255006
11,MVA90,2018,X,100,200,-2,-1.566,0.997877,0.0120697
11,MVA90,2018,X,100,200,-1.566,-1.444,1,1
11,MVA90,2018,X,100,200,-1.444,-0.8,0.980583,0.0207189
11,MVA90,2018,X,100,200,-0.8,0,0.976445,0.0114777
