+--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ          |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
| Bin37  |  0.0007094 ± 0.000541  |  0.003453 ± 0.002441  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.004162 ± 0.002501   | 0 ± 0  |  0 ± 0  |  0.0008661 ± 0.000147  |
| Bin38  |  0.001494 ± 0.0008624  |     0 ± 0.002441      |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.001494 ± 0.002589   | 0 ± 0  |  0 ± 0  |  0.001027 ± 0.0002104  |
| Bin39  |  0.000423 ± 0.0002991  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.002149 ± 0.001752   | 0 ± 0  |  0 ± 0  | 0.0006132 ± 0.0001364  |
| Bin40  |  0.001494 ± 0.0008624  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.00322 ± 0.00193    | 0 ± 0  |  0 ± 0  |  0.0006265 ± 0.000137  |
| Bin41  |  0.0007094 ± 0.000541  |  0.001726 ± 0.00299   |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.002436 ± 0.003039   | 0 ± 0  |  0 ± 0  | 0.0007204 ± 0.0001735  |
| Bin42  | 0.0004979 ± 0.0004979  |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         | 0.0004979 ± 0.0004979  | 0 ± 0  |  0 ± 0  |   0.04409 ± 0.04366    |
| Bin43  | 0.0004979 ± 0.0004979  |  -0.001726 ± 0.00299  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  -0.001228 ± 0.003031  | 0 ± 0  | -0 ± 0  | 0.0002929 ± 6.522e-05  |
| Bin44  |  0.0007094 ± 0.000541  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.002436 ± 0.001809   | 0 ± 0  |  0 ± 0  | 0.0003461 ± 6.788e-05  |
| Bin45  | 0.0004979 ± 0.0004979  |         0 ± 0         |  0.006197 ± 0.006197  |        0 ± 0        |         0 ± 0         |  0.006695 ± 0.006217   | 0 ± 0  |  0 ± 0  | 0.0003728 ± 7.045e-05  |
| Bin46  |  0.003697 ± 0.001334   |  0.008632 ± 0.00386   |         0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |   0.02592 ± 0.01419    | 0 ± 0  |  0 ± 0  |  0.003825 ± 0.0003205  |
+--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
