+--------+---------------------+-----------------------+-----------------------+----------------------+-----------------------+---------------------+--------+--------+------------------------+
| Bin#   |         ZZ          |          ttZ          |         Higgs         |          WZ          |         Other         |        Total        |  data  | Ratio  |          WWZ           |
| Bin36  |  0.1161 ± 0.00733   |  0.02244 ± 0.006686   |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.1385 ± 0.009921  | 0 ± 0  | 0 ± 0  |   0.04807 ± 0.04367    |
| Bin37  |  0.1111 ± 0.007137  |   0.01036 ± 0.00598   |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.1215 ± 0.009312  | 0 ± 0  | 0 ± 0  |   0.04736 ± 0.04366    |
| Bin38  |  0.102 ± 0.006886   |  0.006905 ± 0.004229  |  0.006197 ± 0.006197  |        0 ± 0         |         0 ± 0         |  0.1151 ± 0.01018   | 0 ± 0  | 0 ± 0  |  0.003481 ± 0.0003716  |
| Bin39  | 0.08741 ± 0.006368  |  0.001726 ± 0.00386   |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.08914 ± 0.007447  | 0 ± 0  | 0 ± 0  |  0.003551 ± 0.0004235  |
| Bin40  | 0.08573 ± 0.006299  | -0.005179 ± 0.005179  |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.08055 ± 0.008155  | 0 ± 0  | 0 ± 0  |  0.003566 ± 0.0004476  |
| Bin41  |   0.07742 ± 0.006   |  0.001726 ± 0.00386   |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.07915 ± 0.007135  | 0 ± 0  | 0 ± 0  |  0.003311 ± 0.0004075  |
| Bin42  | 0.06934 ± 0.005727  |  0.01381 ± 0.004883   |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.08315 ± 0.007526  | 0 ± 0  | 0 ± 0  |  0.002819 ± 0.0004105  |
| Bin43  | 0.06779 ± 0.005599  |  0.005179 ± 0.00386   |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.07296 ± 0.006801  | 0 ± 0  | 0 ± 0  |  0.002229 ± 0.0003182  |
| Bin44  | 0.06834 ± 0.005709  |  0.006905 ± 0.003453  |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.07525 ± 0.006672  | 0 ± 0  | 0 ± 0  |   0.04569 ± 0.04366    |
| Bin45  | 0.06011 ± 0.005323  |  0.001726 ± 0.004568  | -0.006197 ± 0.006197  |        0 ± 0         |         0 ± 0         | 0.05564 ± 0.009359  | 0 ± 0  | 0 ± 0  |   0.04553 ± 0.04366    |
| Bin46  |  0.05492 ± 0.00508  |  0.005179 ± 0.00386   |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.0601 ± 0.006381  | 0 ± 0  | 0 ± 0  |   0.04526 ± 0.04366    |
| Bin47  |  0.0537 ± 0.005034  |  0.005179 ± 0.00386   |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.05888 ± 0.006343  | 0 ± 0  | 0 ± 0  |  0.002003 ± 0.0003286  |
| Bin48  | 0.04561 ± 0.004655  | -0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.04388 ± 0.004965  | 0 ± 0  | 0 ± 0  |  0.001629 ± 0.0002878  |
| Bin49  | 0.04784 ± 0.004808  |  0.003453 ± 0.002441  |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.05129 ± 0.005392  | 0 ± 0  | 0 ± 0  |  0.001803 ± 0.0003074  |
| Bin50  | 0.04393 ± 0.004587  |  0.008632 ± 0.004568  |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.05256 ± 0.006473  | 0 ± 0  | 0 ± 0  |  0.001281 ± 0.0002395  |
| Bin51  | 0.03732 ± 0.004206  |     0 ± 0.003453      |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.03732 ± 0.005441  | 0 ± 0  | 0 ± 0  |  0.001027 ± 0.0002095  |
| Bin52  | 0.03521 ± 0.004123  |  0.005179 ± 0.00299   |         0 ± 0         |        0 ± 0         |  0.001469 ± 0.001469  | 0.04185 ± 0.005301  | 0 ± 0  | 0 ± 0  |  0.001376 ± 0.0002806  |
| Bin53  | 0.03104 ± 0.003854  |  0.003453 ± 0.003453  |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.03449 ± 0.005174  | 0 ± 0  | 0 ± 0  |  0.001267 ± 0.000217   |
| Bin54  | 0.02928 ± 0.003749  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.031 ± 0.004128   | 0 ± 0  | 0 ± 0  |  0.001214 ± 0.0002376  |
| Bin55  | 0.02172 ± 0.003161  |         0 ± 0         |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.02172 ± 0.003161  | 0 ± 0  | 0 ± 0  |  0.001108 ± 0.0002354  |
| Bin56  | 0.02825 ± 0.003703  |  0.003453 ± 0.002441  |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.0317 ± 0.004436  | 0 ± 0  | 0 ± 0  |  0.0007337 ± 0.000173  |
| Bin57  | 0.02406 ± 0.003383  |         0 ± 0         |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.02406 ± 0.003383  | 0 ± 0  | 0 ± 0  | 0.0009482 ± 0.0002301  |
| Bin58  |  0.0191 ± 0.00302   |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.02082 ± 0.003479  | 0 ± 0  | 0 ± 0  |  0.000747 ± 0.0001745  |
| Bin59  | 0.02019 ± 0.003151  |         0 ± 0         |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.02019 ± 0.003151  | 0 ± 0  | 0 ± 0  | 0.0007877 ± 0.0002018  |
| Bin60  | 0.02177 ± 0.003244  |         0 ± 0         |         0 ± 0         |        0 ± 0         |         0 ± 0         | 0.02177 ± 0.003244  | 0 ± 0  | 0 ± 0  |  0.001257 ± 0.000296   |
| Bin61  |  0.3407 ± 0.01289   |  0.01554 ± 0.007525   | -0.006197 ± 0.006197  |  -0.01359 ± 0.01359  |  0.001469 ± 0.001469  |  0.3379 ± 0.02117   | 0 ± 0  | 0 ± 0  |    0.101 ± 0.06176     |
+--------+---------------------+-----------------------+-----------------------+----------------------+-----------------------+---------------------+--------+--------+------------------------+
