+--------+----------------------+-----------------------+----------------------+---------------------+----------------------+-----------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ          |        Other         |         Total         |  data  | Ratio  |          WWZ           |
| Bin35  | 0.005065 ± 0.001606  |  0.007956 ± 0.00421   |        0 ± 0         |        0 ± 0        |  -0.00122 ± 0.00122  |   0.0118 ± 0.004668   | 0 ± 0  | 0 ± 0  |   0.04562 ± 0.04245    |
| Bin36  | 0.003551 ± 0.001346  |  0.001591 ± 0.00421   |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.005142 ± 0.00442   | 0 ± 0  | 0 ± 0  |  0.002635 ± 0.0003285  |
| Bin37  | 0.00143 ± 0.0008282  |  0.004773 ± 0.002756  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.006204 ± 0.002878  | 0 ± 0  | 0 ± 0  |  0.002134 ± 0.0002984  |
| Bin38  |  0.002119 ± 0.00106  |  0.004773 ± 0.002756  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.006893 ± 0.002953  | 0 ± 0  | 0 ± 0  |  0.002116 ± 0.0003171  |
| Bin39  | 0.00151 ± 0.0008741  |  0.001591 ± 0.002756  | 0.006836 ± 0.006836  |        0 ± 0        |        0 ± 0         |  0.009937 ± 0.007423  | 0 ± 0  | 0 ± 0  |   0.04446 ± 0.04245    |
| Bin40  | 0.001962 ± 0.000984  |  0.006365 ± 0.003182  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.008326 ± 0.003331  | 0 ± 0  | 0 ± 0  |  0.001583 ± 0.000307   |
| Bin41  | 0.00159 ± 0.0009177  |  0.001591 ± 0.001591  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.003181 ± 0.001837  | 0 ± 0  | 0 ± 0  |  0.001825 ± 0.000332   |
| Bin42  | 0.00151 ± 0.0008741  |  0.004773 ± 0.002756  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.006283 ± 0.002891  | 0 ± 0  | 0 ± 0  |    0.0863 ± 0.06004    |
| Bin43  | 0.00106 ± 0.0007493  |  0.001591 ± 0.002756  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.002651 ± 0.002856  | 0 ± 0  | 0 ± 0  |  0.001219 ± 0.0002316  |
| Bin44  |  0.002119 ± 0.00106  | -0.001591 ± 0.001591  |        0 ± 0         |        0 ± 0        |        0 ± 0         | 0.0005282 ± 0.001912  | 0 ± 0  | 0 ± 0  | 0.0008785 ± 0.0001894  |
| Bin45  |        0 ± 0         |         0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0         |         0 ± 0         | 0 ± 0  | 0 ± 0  |   0.0012 ± 0.0002546   |
| Bin46  |  0.01606 ± 0.002872  |  0.01432 ± 0.006936   |        0 ± 0         |        0 ± 0        |  0.00219 ± 0.00219   |   0.03257 ± 0.00782   | 0 ± 0  | 0 ± 0  |    0.096 ± 0.06004     |
+--------+----------------------+-----------------------+----------------------+---------------------+----------------------+-----------------------+--------+--------+------------------------+
