+--------+---------------------+-----------------------+----------------------+---------------------+-----------------------+---------------------+--------+--------+-----------------------+
| Bin#   |         ZZ          |          ttZ          |        Higgs         |         WZ          |         Other         |        Total        |  data  | Ratio  |          WWZ          |
| Bin34  |  0.4617 ± 0.01844   |   0.03604 ± 0.00927   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.4977 ± 0.02063   | 0 ± 0  | 0 ± 0  |    0.105 ± 0.06213    |
| Bin35  |   0.3953 ± 0.0172   |  0.02194 ± 0.008291   |        0 ± 0         |  0.04086 ± 0.04086  |  0.001404 ± 0.001404  |  0.4595 ± 0.04512   | 0 ± 0  | 0 ± 0  |  0.01516 ± 0.000742   |
| Bin36  |  0.3863 ± 0.01696   |  0.01254 ± 0.007349   |        0 ± 0         | -0.04086 ± 0.04086  |         0 ± 0         |   0.358 ± 0.04485   | 0 ± 0  | 0 ± 0  |    0.1459 ± 0.0761    |
| Bin37  |   0.3746 ± 0.0168   |  0.01567 ± 0.006648   |        0 ± 0         | -0.04086 ± 0.04086  |         0 ± 0         |  0.3494 ± 0.04468   | 0 ± 0  | 0 ± 0  |   0.05545 ± 0.04394   |
| Bin38  |  0.2971 ± 0.01495   |  0.01567 ± 0.006268   |        0 ± 0         |  0.04086 ± 0.04086  |     0 ± 0.001985      |   0.3536 ± 0.044    | 0 ± 0  | 0 ± 0  |  0.0124 ± 0.0006789   |
| Bin39  |   0.2899 ± 0.0148   |   0.01097 ± 0.00646   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.3009 ± 0.01615   | 0 ± 0  | 0 ± 0  |   0.05564 ± 0.04394   |
| Bin40  |  0.2813 ± 0.01458   |  0.01724 ± 0.006069   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.2985 ± 0.01579   | 0 ± 0  | 0 ± 0  |   0.05389 ± 0.04394   |
| Bin41  |  0.2551 ± 0.01387   |   0.0188 ± 0.006268   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.2739 ± 0.01522   | 0 ± 0  | 0 ± 0  |   0.1834 ± 0.08787    |
| Bin42  |  0.2287 ± 0.01323   |   0.01724 ± 0.00683   |        0 ± 0         |        0 ± 0        |         0 ± 0         |   0.246 ± 0.01489   | 0 ± 0  | 0 ± 0  |   0.05187 ± 0.04394   |
| Bin43  |  0.2125 ± 0.01272   |  0.009401 ± 0.004955  |        0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.2233 ± 0.01372   | 0 ± 0  | 0 ± 0  |  0.00829 ± 0.0005717  |
| Bin44  |  0.2038 ± 0.01244   |  0.01254 ± 0.005428   |        0 ± 0         |   0.1719 ± 0.1719   |     0 ± 0.001985      |   0.3882 ± 0.1724   | 0 ± 0  | 0 ± 0  | 0.007638 ± 0.0005416  |
| Bin45  |  0.1919 ± 0.01209   |  0.02507 ± 0.006268   |        0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.2184 ± 0.01369   | 0 ± 0  | 0 ± 0  |   0.05094 ± 0.04394   |
| Bin46  |  0.1927 ± 0.01212   |  0.006268 ± 0.004955  |        0 ± 0         |  0.04086 ± 0.04086  | -0.001404 ± 0.001404  |  0.2384 ± 0.04293   | 0 ± 0  | 0 ± 0  |  0.00668 ± 0.0005329  |
| Bin47  |  0.1539 ± 0.01091   |   0.01724 ± 0.00565   | 0.009372 ± 0.009372  |        0 ± 0        |         0 ± 0         |  0.1805 ± 0.01545   | 0 ± 0  | 0 ± 0  |   0.04953 ± 0.04393   |
| Bin48  |  0.1337 ± 0.01006   |  0.01097 ± 0.005197   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.1446 ± 0.01132   | 0 ± 0  | 0 ± 0  |   0.04939 ± 0.04393   |
| Bin49  |   0.133 ± 0.01014   |  0.009401 ± 0.004955  |        0 ± 0         |  0.04086 ± 0.04086  |         0 ± 0         |  0.1833 ± 0.04239   | 0 ± 0  | 0 ± 0  |  0.00451 ± 0.0003904  |
| Bin50  |   0.1375 ± 0.0103   |  0.006268 ± 0.003134  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.1438 ± 0.01077   | 0 ± 0  | 0 ± 0  | 0.005217 ± 0.0004774  |
| Bin51  |  0.1098 ± 0.00917   |  0.001567 ± 0.003504  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.1114 ± 0.009816  | 0 ± 0  | 0 ± 0  | 0.005203 ± 0.0004968  |
| Bin52  |   0.107 ± 0.00903   | -0.003134 ± 0.003134  |        0 ± 0         |        0 ± 0        | -0.001404 ± 0.001404  |  0.1025 ± 0.009661  | 0 ± 0  | 0 ± 0  |  0.00441 ± 0.0004192  |
| Bin53  | 0.09785 ± 0.008703  |  0.004701 ± 0.00565   |        0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |   0.104 ± 0.01047   | 0 ± 0  | 0 ± 0  |  -0.03976 ± 0.04393   |
| Bin54  | 0.09695 ± 0.008618  | -0.003134 ± 0.002216  |        0 ± 0         |        0 ± 0        | -0.001404 ± 0.001404  | 0.09241 ± 0.009009  | 0 ± 0  | 0 ± 0  | 0.003418 ± 0.0003819  |
| Bin55  | 0.09862 ± 0.008701  |     0 ± 0.003838      | 0.009372 ± 0.009372  |        0 ± 0        |         0 ± 0         |   0.108 ± 0.01335   | 0 ± 0  | 0 ± 0  |   0.04728 ± 0.04393   |
| Bin56  | 0.07871 ± 0.007758  |  0.007834 ± 0.003504  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.08654 ± 0.008512  | 0 ± 0  | 0 ± 0  | 0.003153 ± 0.0003596  |
| Bin57  | 0.08364 ± 0.008045  |  0.003134 ± 0.003838  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.08677 ± 0.008914  | 0 ± 0  | 0 ± 0  | 0.002491 ± 0.0002935  |
| Bin58  | 0.07877 ± 0.007797  |  0.003134 ± 0.002216  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.0819 ± 0.008106  | 0 ± 0  | 0 ± 0  | 0.002272 ± 0.0002983  |
| Bin59  | 0.07844 ± 0.007824  |  0.004701 ± 0.004146  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.08314 ± 0.008855  | 0 ± 0  | 0 ± 0  | 0.003101 ± 0.0003987  |
| Bin60  |  0.0652 ± 0.007132  | -0.003134 ± 0.003134  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.06207 ± 0.00779  | 0 ± 0  | 0 ± 0  | 0.002369 ± 0.0002988  |
| Bin61  |   1.137 ± 0.02979   |   0.03761 ± 0.0113    | 0.009372 ± 0.009372  |  0.08172 ± 0.05779  |     0 ± 0.001985      |   1.266 ± 0.06668   | 0 ± 0  | 0 ± 0  |   0.1367 ± 0.08788    |
+--------+---------------------+-----------------------+----------------------+---------------------+-----------------------+---------------------+--------+--------+-----------------------+
