+--------+----------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |        Higgs         |         WZ          |         Other         |        Total         |  data  |  Ratio  |          WWZ          |
| Bin34  | 0.006026 ± 0.002137  |  0.01254 ± 0.004432  |        0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.01996 ± 0.005117  | 0 ± 0  |  0 ± 0  |  0.004596 ± 0.000387  |
| Bin35  | 0.009698 ± 0.002699  | 0.001567 ± 0.003504  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01126 ± 0.004423  | 0 ± 0  |  0 ± 0  |   0.04843 ± 0.04393   |
| Bin36  | 0.009972 ± 0.002771  | 0.007834 ± 0.004701  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01781 ± 0.005457  | 0 ± 0  |  0 ± 0  |   0.04778 ± 0.04393   |
| Bin37  | 0.003672 ± 0.001649  | 0.003134 ± 0.002216  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.006806 ± 0.002762  | 0 ± 0  |  0 ± 0  |  0.00382 ± 0.0003731  |
| Bin38  | 0.005517 ± 0.002085  |     0 ± 0.002216     |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.005517 ± 0.003043  | 0 ± 0  |  0 ± 0  |  0.003591 ± 0.000353  |
| Bin39  | 0.008396 ± 0.002537  |     0 ± 0.002216     |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.008396 ± 0.003369  | 0 ± 0  |  0 ± 0  | 0.003505 ± 0.0003679  |
| Bin40  | 0.003018 ± 0.001514  | 0.006268 ± 0.003838  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.009286 ± 0.004126  | 0 ± 0  |  0 ± 0  |  -0.04112 ± 0.04393   |
| Bin41  | 0.004729 ± 0.001931  | 0.007834 ± 0.003504  |        0 ± 0         |        0 ± 0        |         0 ± 0         |   0.01256 ± 0.004    | 0 ± 0  |  0 ± 0  |  0.00213 ± 0.0002375  |
| Bin42  | 0.002364 ± 0.001365  | 0.006268 ± 0.003134  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.008632 ± 0.003418  | 0 ± 0  |  0 ± 0  |  0.00202 ± 0.000249   |
| Bin43  |  0.00223 ± 0.001292  | 0.004701 ± 0.002714  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.006931 ± 0.003006  | 0 ± 0  |  0 ± 0  | 0.001934 ± 0.0002714  |
| Bin44  |        0 ± 0         | 0.004701 ± 0.002714  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 0.004701 ± 0.002714  | 0 ± 0  |  0 ± 0  |  0.001899 ± 0.000246  |
| Bin45  |  0.00223 ± 0.001292  |     0 ± 0.002216     |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.00223 ± 0.002565  | 0 ± 0  |  0 ± 0  |   0.04547 ± 0.04393   |
| Bin46  |  0.01758 ± 0.003674  |  0.02194 ± 0.007676  |        0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.04092 ± 0.008625  | 0 ± 0  |  0 ± 0  |   0.06238 ± 0.0761    |
+--------+----------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
